text,author,date,like
"Lydia, I don’t live in the UK, but from what I’ve been reading these days, there are many people in the UK struggling SO severely that they are forced to choose between food or medicine or gas/petrol or heating. I don’t know the status of the person responding to you, but if I was in that position and had gotten the response “it’s all about your state of mind”. And your helpful suggestions, no matter how well meaning, might make someone feel like you are telling them it’s all their fault they are in the position they are in. I would be ticked off too. Now I’m not saying you should change anything about your content. That’s your brand and you’ve always been very clear about it. But let’s be real, for many, your lifestyle is not attainable, no matter how frugal, clever or imaginative someone is. But I do agree on one thing you said, if your content is bothering someone, then they can log off.",Faith England,9 ay önce,110
Lydia... You talked for me. Luxury moments can be create with O$. Creativity and positivity are the keys. It is something we can learn when we are young. Actually WE HAVE TO LEARN YOUNG.  Nobody's gonna tell you that this moment is special unless you make it special...️ This part of video was delightful. Continue your amazing work and you and Ali are always welcome in my paradise in Canada ️,Marie-Lise Guillemette,9 ay önce,0
"Just the other day I was talking to my mother about you, your life and journey, and how wonderful it is to tag along how we all change and grow throughout the years. It at times helps me to get perspective in my own life to see the changes and growth I've done myself. We sometimes don't realise our own journey as we are too busy living, but following you through the years and see the changes in your life gives me possibilities to reflect on my own life as well. It's like a little extra bonus that comes with following you. My mother grew up in the countryside in our homeland and here in Sweden we always lived next to the woods, so living ""in"" nature has been a constant in my life. I now live right next to a forest as a grown-up. As refugees we didn't have much but we got to experience the richness of nature and all her gifts. Even now on clear nights I still fill up in wonder as I look up at the stars. Waking up with an amazing sunrise fills the spirit and seeing the dew on the grass is magical - it literally costs nothing to feel awestruck and lucky to be alive!",Constanza's,9 ay önce,14
"THANK YOU SOOOOOO MUCH FOR THAT SIT DOWN CHAT!!!!! I really needed it. I'm inspired by you and your journey. Noting in life is easy, but we can all learn from each other. You're doing a great job! NEVER FORTGET THAT!!!! Greetings from The Netherlands",Delecia's World,9 ay önce,11
"Hi Lydia you have truly inspired me to live a more conscious beautiful life!! You live a beautiful life yourself because you have worked hard for it, you totally deserve it.  You are what is right in this world, you live with happiness, honor and hope for the future. You are blessed!",Diana Guzman,9 ay önce,9
"“People see the end result and don’t think about the journey.” Amen!!! Our minds are truly the greatest prison for “free” individuals. Sometimes, even though I feel quite free, I still catch myself limiting my personal potential. Unhappy people feel justified only when they are able to bring others down to their level. It’s a very sad existence. It breaks my heart for their personal misery. Of course we all have burdens to carry, it’s the greatest gift of life - the growth and lessons we learn by these burdens, but our attitude makes all the difference on how heavy these burdens weigh on us. ",C Thompson,9 ay önce,55
Loving so many of the comments on this video. I loved your chat at the end and you’re so right. I love the English countryside grandma aesthetic and I live in the desert in Arizona lol. So summer is more my time to hibernate indoors but I’m still making my home cozy and enjoying small things like fresh peonies each week or freshening up things in my home. I love escaping to the English countryside with your vlogs and they’re making my hot summer more bearable. ,Andrea J. Severson - Author (aka JeSuisJusteMoi),9 ay önce,7
You get what you think about and if you think you can’t….you’re right. Are thoughts are everything! ️,Scorpio Moon,8 ay önce,0
"You are so lovely Lydia.  Your graciousness, maturity, and caring is evident, confident, and evolved.  I salute you,being you!!!
You are a GEM. THANK YOU. ",Judy Annable,9 ay önce,0
Those talks are really good because in a way we all are connected…. I love this lifestyle and it’s quite relaxing for the soul everything which is related to nature; creativity and love for all kinds of life (nothing is negative; many of these have started because of Covid… I had never watched YouTube before Covid and now I enjoy and learn so much from the land of the rising sun 🇯🇵️),Martinez Dirce,9 ay önce,0
"I kind of understand you Lydia about the aesthetic you have, im from a council estate myself and I don’t come from money nor do I have money but I have an aesthetic in my mind, countryside/Victorian feel. If I had money I would live my life in the way that would suit me and make me feel happy just the same as I do now where I dont have money. I will still live in the way that makes me feel comfortable and myself. Not sure if this makes any sense but ️",Sarah,9 ay önce,34
"You’ve created a magical life for yourself. Thank you for sharing it with the rest of us.  We each have a choice in every moment.  Which path are we choosing, love or fear…?",R C,9 ay önce (düzenlendi),5
You have become such a wonderful insightful person with a fulfilled life that you have created for yourself.   Bless you. I am a 69 year old woman who is  excited about life everyday and you have inspired me!!!,M Rod,9 ay önce (düzenlendi),7
"Your so lovely, I don’t understand why there’s people that follow you just to put negative comments. Love your videos ️",Maricela Helo,9 ay önce,8
Lydia the way you explain that it's all about someone's mindset makes me think of Ed Mylett. He's got a podcast that you may like. Very inspiring and similar view of mindset. Also the way he describes self confidence is so interesting it's like nothing I had ever heard before - he says people who are self confident keep their own promises to themselves. Loved that! Anyway thought you might like him ,Sam Paulin,9 ay önce,0
"Honestly, people just want to find issues no matter what. You could sit there and give all your money to charity and someone would still be upset about it. So thank you for always sharing tips and your inspiration. You’ve been a positive impact on my life ️",FIT X STELLA,9 ay önce,7
"A certain lifestyle is attached to a certain income level in the collective imagination reason why some people do not allow themselves to live like that, you are absolutely right about that. 
I do live a « parisian grandma style » life with no money at all. It’s a vibe, not a cost!",Maman gère,9 ay önce (düzenlendi),10
I love your sit down chats! We are all just human beings and there is no need to dehumanise ourselves or someone else. <3,Ivanica Novaković,9 ay önce,0
"Loving all the comments suporting you, this light my heart and my faith in humanity   from Portugal",Ana's Volg,9 ay önce,18
"Lydia……it’s appalling that you feel you have to explain yourself! I love how you share your world which is so very different to mine…..you’re right, everyone has a choice about who and what they watch! Sending you a hug xx",Lorraine Shearing,9 ay önce,12
I love how far you have come in your thinking  it’s definitely hinting out of your eyes,SkyArt,9 ay önce,3
"Definitely wear the pink dress for the wedding! I actually ADORE that dress on you, including the colour! <3",peacedogdesigns,9 ay önce,6
You’re so beautiful and blessed!,Perla Sandoval,9 ay önce,1
"Some are more evolved, practice gratitude and in tune with themselves than others. Don’t let the naysayers penetrate. You do you! I’m here for it and love it!",Michelle Tarazi,9 ay önce (düzenlendi),1
I love these videos even though i cannot afford all these products and home improvements. Please don't feel guilty for making luxury videos. You can't please everyone,Gerna De Klerk,9 ay önce,10
Lydia I think you are so right. Some people are of a negative nature and others are not. You are right it is for us to use our imagination to make small improvements. You only want to help. Xx,Louise Ridlington,8 ay önce,0
Absolutely agree with everything you’ve said in your sit down chat.  I also think people who want to see things in a negative light will always find a way to disagree. All it takes is a little creativity to design a life you love! Especially in this day and age of the internet- so many DIY tutorials and so much information and inspiration at our fingertips!,Kristen Johnson,9 ay önce,0
I went from a poly tunnel with chickens to a balcony with troughs . We are all abundant . Its our attitude and devotion that cultivates our reality. It’s down to creativity. Lydia you keep living your best life xxxxxx,Gina on the Beach M,9 ay önce,1
"You are wonderful. Don’t change a thing. Sometimes people like to pull others down to make themselves feel better. Eventually they will learn what you already have, that you have to work, everyday, at creating the life you love.",Dixie W,9 ay önce,0
Aww I love seeing Lydia get all excited over the suite. xoxoxo,Molly,9 ay önce,2
"Everything you speak of at the end of this video is so on point! 
It was actually really helpful insight to apply to my own life! So thank you for being honest and open on the internet! It’s truly a gift you have! You’ve inspired me to lean into my own enjoyment of garden aesthetics and vibes and not feel bad about it! Haha. ",Malia Phelps,9 ay önce,7
I totally agree with what you said. It really comes down to the fact that no one or nothing can really make you happy except yourself and your attitude. :),Katarzyna Mikrut,9 ay önce,2
"Dear Lydia, I love your positivity and your way of enjoying everything in live. Im happy just watching how you make your dreams come true. Bless you",Wioleta Śliwa,9 ay önce,0
"You be you. Who cares what others  think or say. I think you are wildly interesting and fun. I am crazy in love with your gardening. I made a new library in my house of gardening, books, Children’s books and home design. Your vlogs, right up my alley. Have a lovely day!",Wanda Gooden,9 ay önce,0
"We can’t make everyone happy Lydia, there will always be something make some people unhappy no matter how much we try. Keep on being your lovely self. I don’t comment often, but i love watching your video…️️",Ayu Mudiasih,9 ay önce,1
"My ex had the perfect saying, “Create your own reality.”  I know you have the means to buy luxury products, but what I like about you is  you seem so amazed by what you create, and I never feel like your boasting or bragging, you just want to share.  Why are these people saying this crap to you.  They don’t need to watch your channel.",Jerri Hanson,9 ay önce,14
"Lydia, thank you for saying what you did  It is not about money — it is about consistently and intentionally creating a life you love, holding yourself accountable, and staying authentic to your path of happiness. And a little romance thrown in the mix! I love that you give me a path for the life I want in the future, but whilst I am a law student living in a small apartment, I can daydream about life in 10 years. Thank you for providing a path for women like you! I have enjoyed your content for years and you have truly provided such small ways to enhance everyday life. You have helped me hold myself more accountable to the life I want to live, and let’s be honest; it’s not easy work. It’s so much easier to make  a comment and distance yourself from why you can’t have it than to do the work and claim it for yourself, which I have watched you do for years. You are a wonderful inspiration and I am glad you don’t let their limitations limit your life.",Jade,9 ay önce,0
"If I buy vogue, it’s to lust over the images & although I can’t buy couture I can admire it & implement the ideas in my own style. When I watch you Lydia it’s like flicking through a magazine & whether you inspire me to strive for life’s finest, or simply grow lemons on my balcony, either way be proud of the life you lead. Even more so that you’ve achieved a life that triggers so much envy ️ I was shocked to see the comments on that TikTok & I hope it doesn’t discourage you from sharing every aspect of your fabulous lifestyle x",Katie Griffin,9 ay önce,0
"Lydia, my lifestyle is nothing close to yours however I absolutely love your content you are such an inspiration, ever since I found you on YouTube I love love love your feminine, chic, glam country style, if anything your content makes me want to get out and explore outdoors more, grow plants and herbs, get dressed up even on a budget and enjoy life. Continue being you and remember you don’t have to explain yourself to anyone xx",Tamika Burke,9 ay önce,0
It's beautiful to see how much your confidence has grown at events. You're such a lovely person and it's wonderful that more people get to meet and know you ️,Dominique Baldock,9 ay önce,0
"Strongly agree with your sentiments around living a certain aesthetic lifestyle no matter your income. We live on a modest income in South Australia. We definitely are channeling a boogie grandma aesthetic  Our 120 year old sandstone californian bungalow was so affordable. Our kitchen garden is our pride and joy. We’re renovating slowly and thoughtfully, creating a beautiful life and home is so calming to me and my partner and our home is our sanctuary. I take so much inspiration from you, especially the way you have manifested your stunning lifestyle. Love you Lyds!",Jade Palmer,9 ay önce,4
Totally agree with your chat! I get this all the time when I put my mind to creating something beautiful in life and people will comment “well that’s nice for you but I could never have that because” fill in the blank. It’s not just about monetary value like you say but people will project their limiting beliefs into you. I’m actually working through a lot of limiting beliefs myself surrounding wealth and learning that all of the things that trigger you actually are something that is an unmet desire within you that you have decided to say is not possible for you but by doing so you separate yourself from ever taking action towards the thing you want. Ramble comment but thank you for being real in you videos :) greatly appreciate you!,Alica m,9 ay önce,4
Love your philosophical chat at the end! I totally agree. I think the reason some people are triggered is lack of self worth. They don’t think they deserve those things/experiences and it triggers their insecurity to see someone who DOES have high self-worth and believes they DO deserve to have a beautiful life. For people who get triggered: examine what is so upsetting to you about it and heal that. Never try to change someone else because YOU have a reaction to them. You can choose who you give time and energy to.,Lizzie Wing,9 ay önce,1
You are a wonderful example of living with intention.  I have followed you for years and find your current content to be more honest and genuine.  Many are afraid of taking the steps to get what they want.  Many are afraid to even say what they really want.  Fear is debilitating and makes people cranky.  you are a lovely modern woman who has embraced her personal needs.  Well done you!,jill pehlman,9 ay önce,0
"I don’t have a lot of money, my moto is you can’t buy class  I love a bargain but also love an expensive item, I am a great believer that you can have the way of life you want! 
I agree with everything you said there xxxx ️",Lauren Butcher,9 ay önce,23
I love watching your videos and seeing your lifestyle…please don’t scale this back to please anyone else. You are being your genuine self and shouldn’t have to explain yourself ️,Carla Ritchie,9 ay önce,0
