text,author,date,like
Wow this is the first time i unboxed a product for myself before iJustin made a video ,WORLD PRODUCTION,9 ay önce,0
Bought my boyfriend this for Christmas I can’t wait to see his reaction,Hazellax,8 ay önce,4
"Brings me back seeing the N64 controller. Used to play Mario kart, banjo kazooie and perfect dark",Zach Budnick,9 ay önce,0
So jealous!  I want one of these.  What a journey to get it into your hands!,robmille,9 ay önce,0
the screenn is so vivid and smooth that I thought it was CGI,trinity lim,8 ay önce,2
They need to make something for the virtual boy and original gameboy color. =),bozo688,9 ay önce,0
YASSSS FINALLY I WAS WAITING FOR THIS UNBOXING FOR AGES!!,Big Potato,9 ay önce,1
"Wow! She got the NES, SNES, AND the N64! That's the perfect trio! :D",ThatOneYouTuber,9 ay önce,8
Man I already have a nintendo switch but I have always wanted ACNH. I have Seen a lot of my friends playing it and it looked awesome! Even on the new switch OLED!,Raoul The Mysterious,7 ay önce,0
I just picked mine up Wednesday and absolutely love it!!,Gisell G,8 ay önce,0
"Old-school controllers! Yes! I have a Nintendo GameCube Wavebird in order to play GameCube games on my Wii. Not to mention, I grew up with playing Sega Genesis and Sega Dreamcast games, and I still have those consoles.",Wolfstar Games,9 ay önce,1
"One thing I rlly appreciate this about this is the kickstand.
It was so annoying with the original switch when it used to break off all the time smh",C0lorS5,3 ay önce,0
Can you use the same games on the oled? Or do you have to buy new ones special for the oled?,naomi naomi,3 hafta önce,0
Loved watching you play Mario Kart 64. Pure joy on your face!,Geoffrey,9 ay önce,3
"Also the default setting is like outdoor more change it none adaptive brightness 
For indoor use looks way better",born2G4mE87,8 ay önce,1
I bought this Nintendo and I realised everything it’s so neat and so cool!,Ha Alqa,1 ay önce,0
Accidentally bought the OLED. It’s amazing though,Toilet Destroyer,8 ay önce,1
I have one of these and it is quite impressive,Anthony Moca,7 ay önce,1
So in videos I’ve seen there’s not much difference but yesterday in Target I saw a display model of the oled and the original next to each other and omg the display in the new one is drastically better! So it’s way more noticeable in person.,Johnathan St. Louis,9 ay önce,2
YES JUSTINE FINALLY GOT THE OLED SWITCH!,Rman Nayr,9 ay önce,3
"OMG. You make me want to get those retro controllers! All of them! But Ill need to get then OLED Switch or the OG Switch whichever is available at time of purchase. Good video, iJustine!",TuPhonez4Free,9 ay önce,1
Mine is on the way! Should be here this afternoon. So looking forward to the difference between it and a lite.,DrEvil818,8 ay önce,0
Like it was released practically years ago but we appreciate the unboxing. Thanks.,1saac Bcourt,9 ay önce,0
Justine I was contemplating getting the controller but you helped me with that decision!! I will definitely get them!!,Arcade Adventures,9 ay önce,2
It is finally here!!  Enjoy it now ,Yanis Langlade,9 ay önce,0
I feel like the kickstand from the OLED nintendo switch is the only thing i wish the original nintendo switch had before,Nathan Crane,9 ay önce,15
I just got an Oled yesterday after month of trying to get one. What an upgrade I love it!,Alex Valdez,5 ay önce,0
I love her so much she keeps me lifted and has a great personality ,Sayvon Hall,9 ay önce,0
"Ever since the release date, I was waiting for iJustine to review this!",Jason Yau,9 ay önce,2
Yay Justine!!! I got my white oled switch and am loving it!!! I'm thinking of either getting an ipad mini or the N64 and super nintendo controllers on this video too!! Love your videos keep it up!!!!,Cheryl Allred,2 ay önce,0
"""I'm so excited about this"" If you don't hear this statement on every video, you will know there is something wrong with Justine ",Basil,9 ay önce,2
Finally nintendo joining the oled team    ,Imsen Cooking,9 ay önce,3
I grew up playing on the Nintendo 64  me and my sister would sneak in my brothers room after school and play while he was still in school  he would walk in knowing we were in there    I miss it. He still has the console but idk if it still works ,M.S.J.J G,2 ay önce,0
So excited for this too!!! Cannot believe there’s already another switch!! So exciting,Marcus & Warren Studios,9 ay önce,0
"the box it comes in seems much less bulky, hopefully, that will mean that Nintendo is reducing it's footprint :)",Luna Louise,9 ay önce,2
FINALLY I WAS WAITING FOR THIS UNBOXING FOR AGES!!,JohnTendo,9 ay önce,6
OMG Thats AMAZING! Thought it would never come out,Ishveer Bhogal,9 ay önce,1
"When she held that N64 controller, i felt her joy !",iBeatz12,9 ay önce,3
Comprei a minha mesmo agora ,Vitor Gomes,9 ay önce,2
I have a day 1 switch that really needs upgrading! Can’t wait to play ACNH and Mario on OLED! Getting one tomorrow! :),JG R,6 ay önce,1
"Hey Justine, happy holidays !!",Kamal Sunrise,9 ay önce,1
Your videos make my day :),Yehia Waleed,9 ay önce,1
Awesome!! Now I just need to save up to get one ,FunDuhForth,9 ay önce,0
"Damn it, I Just moved it from my Best Buy cart to save for later and it said sold out ️",Bryan Escalona,9 ay önce,3
Thank you for momentarily taking me back to my childhood! ,J. Taze Valderrama,9 ay önce,0
I’m picking up mine tomorrow! I’m upgrading from the Lite and I’m so excited!!!,Lane Smith,6 ay önce,0
"this console looks very nice , i havnt had a nintendo in years",TallAndThin123,3 ay önce,1
Great review! What camera do you use BTW?,EverybodyLove Don,8 ay önce,0
Wait those controllers are amazing!!!!!,Alexander Leon,8 ay önce,0
OLED Switch is nice but I wish they updated the Switch Lite also as I don't really care for an OLED screen in a Switch which is docked to my TV 99% of the time. I want the OLED screen on the model designed to be used on the go ️,satysin,9 ay önce,6
"Ok, Justine. You did it again. 

I bought an M1 Mac Mini one week, 12 days later decided I didn't care about the $300 difference, returned it and got a MacBook Air. The Mac Mini was my first Mac EVER (life-long PC user here), but I decided to get a Mac because you changed my mind. Got the Air because you made the MacBooks look cool.",Jordan Bergstrom,9 ay önce,1
Loved your reaction,MalvinZify,8 ay önce,0
I’m going to get that for Christmas Day 2021.,KirbyFan345,9 ay önce,1
Getting the lite for Xmas and I’m hoping they don’t release a new lite right at the beginning of next year because I would be so mad at myself for not waiting a bit more ,Miyuki Y,8 ay önce,0
I’m getting the OLED model tonight and i can’t wait!,𝗕𝘂𝘁𝘁𝗲𝗿𝗳𝗹𝘆 𝗧𝗟𝗤,5 ay önce,0
Wow! I've never seen anyone so excited about anything like this before. . It's adorable how you sometimes act like a kid. I think thats really cute. Lmao.,Nahian Choudhury,9 ay önce,6
Time to buy one! Why? Because @ijustine is excited  in love  with her vlog!,Calvin Dean,9 ay önce,1
Waiting so long for this ,Abraham Rodríguez,9 ay önce,1
stunning as always,smol bean,9 ay önce,2
wow the old controllers  took me back to the 90s. wow i was totally geeking out with you justine.,R T,8 ay önce,1
"Picking up my switch on Monday, so excited!!!",Adrian Perez,9 ay önce,1
"imagine transferring an ""A15X"" or M1 chip into this device.",BABE DSTT,9 ay önce (düzenlendi),7
It looks so beautiful ,Eli As,9 ay önce,1
Just got mine delivered today. I wish i was as excited as you. Haven't even opened it yet. Might get to it later on if i feel like it.,Andrew K.,8 ay önce,0
I just bought the Nintendo Switch OLED. It’s literally still in the box. My brother has the old one & won’t stop talking about mine ,Ajah Coleman,4 ay önce,0
i love ijustine. i only know her because of shane dawson literally like 10 or years ago. amazing.,Rayne Storm Marie,9 ay önce,0
Hey Justine! Super big fan of you..you’re the best YouTubers out there! I have been watching your vids for 8 years now! Huge fan until now keep it up! Wish I can meet you and be in your vids…,LX MUSIC-LXM BASS BOOSTED,9 ay önce,1
"NINTENDO SHOULD REALLY WORK ON PRODUCTION. THIS COULD BE THE #1 CHRISTMAS TOY.
️",kris ertmer,9 ay önce,14
Loved it ,humble Keel,9 ay önce,0
Justine is the QUEEN of making me excited to spend money I know I don't have lol,Leera,9 ay önce,1
Bro I love my switch oled it’s so amazing I was so lucky to get it too plus tax it costed 508.30,hi,8 ay önce,0
i got mine a few days after launch and LOVE IT! especially because i only play it in handheld.,lostcause,9 ay önce (düzenlendi),0
I just got mine today!!! So far I love it!!!,TechThisOut,9 ay önce,0
"""This is a bunch of lies"" is the best quote after getting 2nd .",Sean Kanoog,9 ay önce,15
That feeling when you suddenly come in 2nd place at the FINISH LINE  I feel u justine,RenaRoll,9 ay önce,2
Do the games come with or do you have to buy the games individually? Like how expensive are the games?,Ellie!!,3 ay önce,0
ahhhh i’m so excited mine is being delivered by target tomorrow!!!,Joshrealms,1 ay önce,0
its so cute the way you're getting so excited its so relatable ,iloveyou🐾,9 ay önce,0
I thought I never see the light of day when she unbox one of those OLED Model lol,JTiMMS,9 ay önce,1
I’m looking forward to playing the new Brilliant Diamond & Shining Pearl Pokémon Games!,Jaydog1Party RE,9 ay önce,41
You got an oled. Super cool. When our other consoles will go to being our secondary.,Timothy Le,9 ay önce,0
So cool Justine. I hope to get a switch in the future myself. The switch looks fun to play for sure and I grew up on nintendo consoles and so many fun games on those consoles as well. I grew up on Nintendo and PlayStation.,GamerAndGanja4Life_07,2 ay önce (düzenlendi),0
Love my Nintendo so much thanks Ijustine,Hailey Terranova,9 ay önce,0
"Amazing video, amazing video edit ️",SavageAdam,3 ay önce,0
I love the oled switch I preordered so I could have one,Kristina Akin,9 ay önce,0
"4:35 She's capping! The Switch OLED is absolutely not smoother than the regular Switch. I own both and there is definately no difference in performance, or how ""smoothe"" it feels. It's the same console with a different body. Nintendo has confirmed that the OLED model has the same internals as the red box Switch. The Switch OLED is great but what iJustine said in this part is straight up false.",Reuberg,9 ay önce,5
I love this! And now I need one. To play that Ocarina of Time for Zelda.  I loved that game!!!,MsKaren65,9 ay önce,0
"The ""SWOLED"" is a cool system and all. But personally if you have a V2 Switch it's best to get that one. Besides the nice screen, the ""SWOLED"" isn't really worth the price since it doesn't add much extra.",Blackdragon6,9 ay önce,1
"1:14 yea, id be smiling like crazy too if I had a brand new Nintendo switch given to me.",bstoos93,9 ay önce,0
@iJustine I know that you’re so excited for the new Games coming out!,Jaydog1Party RE,9 ay önce (düzenlendi),2
Now I want one. Thank you iJustine,Ariel Sierra,9 ay önce,0
Would be cool if they’d let existing Switch users buy just the new screen.,Shivan Mavalal,9 ay önce,5
It looks incredible!,kara,9 ay önce,1
I was waiting for your video! I wanted to watch you do an unboxing and review on the new Nintendo Switch ,Kris H,9 ay önce,0
Ahhhhh the satisfaction……I actually got a tech product before Justine. And I’m in Western Australia. WTaF!!,Kraken Towa,9 ay önce,0
Where do you get the old 3 controllers from the old Nintendo systems?,Alex Alvarez,6 ay önce,0
I got a Nintendo switch 5 years ago it's amazing also I got it for Christmas,Shannon Phillips,9 ay önce,0
"I have to admit your pretty good at advertising, I don't think I'll ever be able to play old games again I'm always looking towards the future now old games is for nostalgia but to replay them all again from start to finish just can't do it anymore. I guess that's why newer is supposedly always better. It's your brain seeing something new for the first time which makes new nostalgic memories that has a higher endorphine response than playing an old nostalgic game that you've already visited.   A bit like gut bacteria new foods will cause your healthy bacteria to say thank you to you instead of eating the same foods over n over.",Deus Vlad2.0,9 ay önce,3
I just got one!! It’s gonna be my 1st switch & it comes in 2 days!!,Shea,9 ay önce,1
Videos like this make me miss when Nintendo was a good company,Sheikashii OLD CHANNEL no more uploads,9 ay önce,0
"I really interested in getting a switch, I didn’t know you could also play old school Nintendo games on it?! How do you get the games?",DuBB900,6 ay önce,0
Yessss! Thanks for posting this. I'm looking forward to more animal crossing new horizons game play. Have a great day and God bless!,Ross YT,9 ay önce,1
I love your videos,TOH Bros,9 ay önce,0
"FINALLY I HAVE BEEN WAITING FOR THIS VIDEO, also i got mine an exact 7 days after release but i ordered it day one",MLGfusion Gamer,9 ay önce,0
For me if you have a normal switch you don't need to buy the pled because its the same but just that its bigger and maybe brighter but you can buy it for a collection,Gaming With Kitty,7 ay önce,0
"At time 4:44 I saw Justine playing Mario Kart and she hit someone with a green shell, and I’m like I could NEVER do that.",Doggieplayzgames,8 ay önce,0
I wish I can afford to buy one :(,My Little Pony MENA,9 ay önce,0
"To the person reading this: Even though I don’t know you, I wish you the best of what life has to offer ",Darvin Charles,9 ay önce,23
You’re so lucky iJustine. ,Justin Television,9 ay önce,2
Yup chill video game hoodie season Hopefully my iPhone 13 promax comes before the holidays so I could play some hard-core games with the 120 Hz display,Jesse Lee,9 ay önce,0
Slight flex… “this is an 8k television” ,Anthony Lavender,8 ay önce,0
"I really like to see other people unbox their switchh since I was a kid I love console but unfortunately I can't afford Nintendo Switch
:(( anyways happy gaming to everyone ️",Jhon Rey Lazaro,3 hafta önce,0
You always make me proud when u make these vids I even some of ur old vids bc I’m new to ur channel,StevenT123,4 ay önce,0
Only Nintendo can make you buy a 4 year old product and people will be dumb enough to still buy it thinking it’s better when it’s not ,ChallengerDrakava,9 ay önce,4
The memories this video brought back...,Pulse the Trey,9 ay önce,1
"Been waiting for something like this from you, iJustine.",Paul Lo,9 ay önce,1
Hi Justine I love your videos,Ola Lawani,9 ay önce,0
I felt fun and happiness watching you play. You have a beautiful smile. I love your eyes that are full of childishness and innocence.,Subham Pal,9 ay önce,2
Managed to order one from Walmart. Been sold out for months. Amazon has them in stock but only prime members can buy one,Daniel Pacheco,8 ay önce,0
1st,Adrian Prundaru,9 ay önce,7
"I was the champion at Mario Kart 64.  I knew all the shorts cuts  Rainbow road had a big shortcut!  I miss that game I might have to go out and buy one now, thanks for the videos.",Ed,1 ay önce,0
"Your entire schtick is that you enjoy life -- with the utmost enthusiasm.

It's so wonderful and refreshing -- it makes your appeal visceral and truly universal.  Keep it up :)",Richy,9 ay önce,1
Add in the rumble pack in the N64 controller haha ( the good old days),Mohammed Bin Nassar,9 ay önce (düzenlendi),0
You always have the best ideas.,Learn With Azhar,9 ay önce,1
Ur the definition of positive attitude,LunAtic,7 ay önce,1
Finally I been waiting for this Good Job!,Xyler,9 ay önce,1
The Story of Zelda on the plane really warmed my Heart ️,Marilea Minasi,9 ay önce,0
I'm gonna buy this soon but I can't decide which variation I want,Aian Io,8 ay önce,0
Wow! el control del N64 ,Jordan M.T,9 ay önce,0
Mine is coming is on Jan. 3rd and I can’t freaking wait ! ,Adelayda alejo,8 ay önce,0
"if you already have a switch it's not worth the upgrade, but if you don't have a switch or already want to get a new switch it's 100% worth it for the small price jump",violet,3 ay önce,0
Do the controllers from the previous design work with the new one?,Joshua Douglas,9 ay önce,0
Love the Nintendo switch,Adrian Dietz,8 ay önce,0
Magnificent...,Vicente Castro,9 ay önce,1
"I like the bigger screen too but , it's a little bit disappointing that the home screen looks the same and I'm kind of sick of the old Nintendo switch home screen .",This 8 year old girl,4 ay önce,0
If your childhood was mario kart on the SNES you would of known true mario kart as that was the best one ever made.,Deus Vlad2.0,9 ay önce,1
"I package these all day and honestly they’re even more beautiful in real life, cameras don’t do it justice. And the shipping boxes are hella heavy ",Bregan Young,9 ay önce,0
I am so happy that you finally got one,Edward Sanchez Productions,9 ay önce (düzenlendi),0
"I got my Nintendo Switch OLED on Boxing Day, the one with the blue and red controllers but OLED, it’s pretty amazing and looking forward to play Mario Kart 64, Super Mario 64 and a lot more",Srirajh Sripathinathan,7 ay önce,0
