text,author,date,like
"Never been this early️ I love your content and you inspired me to start a channel and review things as well, ilyyy <3",Oyinda Oduyoye,11 ay önce,3
Hola Miss Justine Matty and everyone ️,🐲 My Kitten Is A Black Belt 🐉,11 ay önce,0
Those exact spiky balls are my dog’s favorite! He was gifted one as a puppy and then we had a strangely hard time finding a similar one as a replacement when it eventually broke. They are weirdly hard to find! Could only ever find them at pet smart!,Listen_Darling,11 ay önce,0
HE'S ADORABLEEEE!!!,Amybombshell,11 ay önce (düzenlendi),4
fabulous ,Lens Production,11 ay önce (düzenlendi),1
"Hi Justine , great video, can you tell us what breed is Maddie?",SH DMD,11 ay önce,1
Great shop your dog is so cute,Andy Street,11 ay önce,0
"He's not just a good boy, he's a great boy.",M Hema shiva Kishore reddy,11 ay önce,0
pups are the best!,,11 ay önce,3
Matty is most definitely a good boy.,Dante,11 ay önce,0
"If Justine and Jenna spoil their dog that much, imagine if one of them had an actual kid...

Personally, I honestly don't understand their not wanting to have kids or even just getting married, but  that's their choice and I respect it!",Jordan Bergstrom,11 ay önce,1
A beautiful video thank you so much Justine you so beautiful,Abubaker Jandan,11 ay önce,1
"Bischons must have a ""naturally worried-looking"" face, because Matty, and my dog King, have that same look all day.",jbzhummerh2gamer,11 ay önce (düzenlendi),0
Love your videos ,Dr Caricature,11 ay önce,2
"dogs are so cute. apple needs to make accessible devices for dogs and then matty would review them, so that will give matty his own channel which could be named i'mmatty",Naveen Gupta,11 ay önce,0
Congratulations to everyone .  who comes in every single seconds,أميرة الرقص.dancing princess,11 ay önce,3
Matty is so cute,Wished,10 ay önce,0
"Justine is a rollercoaster, she can do an intense video about tech and the next one be talking about her pet like it's everything about her channel, I love this kind of vibe ",Flávio Fonseca,11 ay önce,0
OUR SON,,11 ay önce,88
Justine you gotta take me with you next time I have 3 dogs to shop for,Skull Krusher,11 ay önce,0
Amazing video hats off to you,Entertainy with useful tech videos,11 ay önce,0
"Ijustine vlogging, than it must be an ad ",Courtney Eli,11 ay önce,0
My dogs name is also Bo️,Jayvin Lewis,11 ay önce (düzenlendi),1
I love how yhis6 is gonna be on that channel! ,Sydney Helton,11 ay önce,1
He or she ....absolutely cute....lovely.....,Arman Ahmed,11 ay önce,0
Nice video iJ!,Campwise05,11 ay önce,0
Wow ,Jay Davey,11 ay önce,1
Can u do more videos about your dog!!!???,Kevin Griesser,10 ay önce,0
Very cute,iDillyD,11 ay önce,0
Matty ,exohdaniellea,11 ay önce,1
matty! ,David Paris,11 ay önce,1
Love and respect from Bangladesh,Movies World,11 ay önce,1
i miss seeing matty in your vids!!!,SIR,11 ay önce,2
$1k gone like that ,SuperCoolTony,10 ay önce,2
Love ur vids,The Yt shorts guy Armaan Nayani,11 ay önce,0
Hi Matty !!  ,Stephen A.,11 ay önce,1
a video whit matty?? long overdue. you can see Matty know this is a video about/for him. Also...  sister team filming i`m here for it.,Henrik S Solberg,11 ay önce (düzenlendi),0
Yes more dog videos,Adrian Dolewski,11 ay önce,1
Good content in every video like I watch like 5 videos,Sadiq rocks,11 ay önce,0
Love you good boy matty,Heather Astbury,11 ay önce,0
Omg I love you Justine,Kieran Rafferty,11 ay önce,1
Little doggie so cute and funny,Rathod naresh vlogs,11 ay önce,0
"Wait so, PetSmart will help people who can't afford a dog and help them to get one? Interesting",WARRIOR STUDEO 18,5 gün önce,0
️️️️️,Kaycee Bishop,11 ay önce,0
It's so cute,Paul Robles,11 ay önce,0
Lol I was just Checking out your channel and I found that you dropped a new video! cool! XD,Koplax Klotory,11 ay önce,0
Yaayyy! Matty content!,Paty Pantoja,11 ay önce,0
i still don’t understand how justine doesn’t have a tesla yet,lil tile,11 ay önce,1
"Ahh!! 59 seconds ago!!
Love you Justine!",Sankarkumar Nagarajan,11 ay önce (düzenlendi),2
Matty Is So Cute And Adorable.,Shelby Church Is Beautiful,11 ay önce,0
what a good boy,Evan Le,11 ay önce,0
,De mel Production,11 ay önce,0
This is the BEST YOUTUBE CHANEL EVER!!!,Josh,11 ay önce,0
"Question Matty, what is that, that wraps around a tree?",joey,11 ay önce,0
So cool,Lacture Of Gaming,11 ay önce,1
Hi Bo !!  ,Stephen A.,11 ay önce,0
Good boy!!!,Dakota Hicks,11 ay önce,0
like a baby ,čeda,11 ay önce,0
love you justine',Tanay Gilda,11 ay önce,1
I think i am the biggest fan of yours..because i don't miss ur any video ,Nethni De Alwis,11 ay önce,0
Your cool I’m ready for a giveaway ,• Jathin •,11 ay önce,1
but,Chicken Soup,11 ay önce,0
I was just there my dog got groom my little ,Joker,11 ay önce,0
,Re- Fix,11 ay önce,0
What a cute Dog,Sai Htet Aung®️,11 ay önce (düzenlendi),1
The Wyze camera company belongs to another YouTuber and family the Crosby’s!,tiasephora,9 ay önce,0
Matty is a good boy! But I would never take my business to PetSmart! And that's for a GOOD REASON too. They banned the Pit Bull breeds. ALL bully breeds for that matter especially the Pitties. And I would NEVER go there. One day I wanna get a Pit Bull and bring them to the pet store. So Petco gets my business ALL THE WAY! Because they accept ALL BREEDS!! That's what I truly love!,Erina Hui,11 ay önce,1
Cute,Merita Zejnoska,11 ay önce,0
Ur so kind sister,Gaichui Kamei,10 ay önce,1
Good morning y’all,Edward Sanchez Productions,11 ay önce,1
Very nice video,ADITYA MEHTA,11 ay önce,1
Your dog is CUTE,BoomerBoi,11 ay önce,1
How much did this cost?,Róbert,11 ay önce,0
53 seconds ago! Damn! I’m early ,Lydia Michaels,11 ay önce,1
…ure great ,Jodun Dylan,11 ay önce,0
I have been a fan of justine since befor she got matty,kalyankumar Bethi,11 ay önce,1
Are dog crates an american thing? I've never seen that before,Esteban Espinosa,10 ay önce,1
Justine ftw,iPurpleMist,11 ay önce,0
Look at he!,Yung Citrus,11 ay önce,0
YOU ARE THE BESTT OMG,čeda,11 ay önce,0
Best justine ever,kirby's Dream Buffet,11 ay önce,2
What breed is maddy?,cod.ybrendan,11 ay önce,1
7.7k in 1 hour for a channel with over 6 mil subs,Haseeb Ahmed Siraj,11 ay önce,0
موتابعكم من العراق,Mastafa Ahmed,11 ay önce,1
Matty is the best,Edward Sanchez Productions,11 ay önce,1
Matty vids are the best!!!,Jori Taylor,11 ay önce,0
What??️️,Savagenyts,11 ay önce,0
Hii separate the video iPhone 13 pink pls I am big fun of your channel from India 🇮🇳,Karthi K,11 ay önce,0
Hey hey you can ask IJ ,dweem2009able,11 ay önce,0
Cool,Namashivath Saravanan,11 ay önce,0
Spoiling your doggo much?,Nathan Milkie,10 ay önce,0
Aww,Steven Comino,11 ay önce,0
which breed ? Maltese?,SPONTANEOUS JR.,10 ay önce,1
Never been this early!,Arctic Lullabies,11 ay önce,0
Hey I just saw your old channel it’s called ijustinesphone,tylerrowland 123,11 ay önce,0
Cutie Matty,Francis Suemitsu 末光,11 ay önce,0
WYZE Cam!!!,D World,11 ay önce,0
"Heyy Justine 
We want a iphone 12 and iphone 13 comparison",Palak Maniyar,11 ay önce,1
HII I LOVE U,Brookie,11 ay önce,0
Can I be your Dog,The Real Talk,11 ay önce,1
Which bog breed is this,Sastry Paturi,11 ay önce,0
omg I am early to the queens YouTube video,bradley mark,11 ay önce,0
Pls make the iPad 9 video,AQeeL’s Life,11 ay önce,6
How can aesthetics and beauty be so unimportant in America? Like she doesn't even care what color or shape what she's buying is. Everything is so ugly!! ,Carlos Quesada,11 ay önce,0
Coolest vidoe ever justineI,Nirsen Manzanares,11 ay önce,1
മലയാളീസ് ഉണ്ടോ......,Mobile Tips&Tricks,11 ay önce,0
you're just printing your own money $$$ now :},bryan bailey,11 ay önce,0
Hi ijustine,Sagharika Dharshini,11 ay önce,1
"Cage is not for dogs...
Looks like I
He in jail?",kntwing.23,11 ay önce,0
7 million subs and 50k views?,jodamacotube,11 ay önce,0
My name!!!,Matty O,11 ay önce,0
Dogs eat their own vomit and poo ,Eric,11 ay önce,1
Matty you are spoiled rotten just like my dog is. You and her have the same crate.,Drew Wise,10 ay önce,1
What's the price of iPad mini 6 in pakistan,Saqib OP,11 ay önce,0
Proud to be 🇮🇳Indian,Santosh Ghogare,11 ay önce,0
Why do you treat your dog like a child? It’s a animal not a person.,Eric,11 ay önce,0
Hi Justin,Kijuan Stepney,11 ay önce,0
Random Upload Times … continue. ️️️,Darkside 91,11 ay önce,0
EARLY,Amybombshell,11 ay önce,1
Best ️ but I m a fan of Hammad Khatri. He is  hearing impaired Youtuber. No one pays attention to him. His channel name Hammad Khatri,Hammad Fans,11 ay önce,2
Mam please give ipad mini please mam,ANY ŠHØRTS,11 ay önce,0
Pls ijustine  I need  some help from you  for youtube  I need,S.P Gamerz,11 ay önce,0
Lol you wear shoes inside? Gross af,zykzyk85,11 ay önce,0
the world is not enough,TwistedHot,11 ay önce,0
"Justine every video of yours, you look better, you look like a cinderella, I don't really understand what you say, but I'm trying so hard to learn, but I like the things you show in your videos, so see if I could find you, I would bring your beautiful lilies to you",RodrigoGameplays Jill valentine RE3,11 ay önce,0
"i think i'm first.....

sorry guys this is just a freaking comments",Akmal Raiyan,11 ay önce,1
зачем все это,bossmatsymoto,11 ay önce,0
HEYY,čeda,11 ay önce,0
Cool,Крум Давчев,11 ay önce,0
Who cares,JP,11 ay önce,1
Huawei is the best,Tharun Janki,11 ay önce,1
Can you give me a iPhone please I had to attend my online class can you give me a,Manu Tixan,11 ay önce,0
I phone giveaway,JILA PAURI,11 ay önce,0
Hiiii,DEADPoOL,11 ay önce,2
Yooooo,Sagar Agrawal,11 ay önce,1
Hiiiiiiiii,jerry cooper,11 ay önce,1
Hello,Skyress,11 ay önce,1
Hey,Creativechaosmess,11 ay önce,0
10 minutes agoo,adam hariss,11 ay önce,0
I’m second les go,The Yt shorts guy Armaan Nayani,11 ay önce,0
hii,Kayleee,11 ay önce,1
ive never got a comment,Kayleee,11 ay önce,0
1st,jAc,11 ay önce,0
31st,prince Harish,11 ay önce,0
Stahp,Ryan Mercer,11 ay önce,0
